"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7136","Validar rechazo de password vacío","chromium","Fri May 01 11:27:48 ART 2026","passed","Fri May 01 11:27:55 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","18075","Validar ausencia de mensaje de confirmación con password inválido","chromium","Fri May 01 11:28:12 ART 2026","failed","Fri May 01 11:28:30 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","1669","Validar rechazo de email vacío","chromium","Fri May 01 11:27:55 ART 2026","passed","Fri May 01 11:27:57 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","3043","Validar integración exitosa con endpoint de registro","chromium","Fri May 01 11:28:45 ART 2026","passed","Fri May 01 11:28:48 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","2864","Validar registro exitoso con password de 6 caracteres exactos","chromium","Fri May 01 11:26:27 ART 2026","passed","Fri May 01 11:26:30 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","2267","Validar sanitización de scripts XSS en nombre","chromium","Fri May 01 11:28:41 ART 2026","passed","Fri May 01 11:28:44 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","16499","Validar rechazo de password con 5 caracteres","chromium","Fri May 01 11:26:51 ART 2026","failed","Fri May 01 11:27:07 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","1907","Validar rechazo con múltiples campos obligatorios vacíos","chromium","Fri May 01 11:27:58 ART 2026","passed","Fri May 01 11:28:00 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","1720","Validar rechazo de nombre vacío","chromium","Fri May 01 11:27:57 ART 2026","passed","Fri May 01 11:27:58 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","14822","Validar rechazo de password con 1 carácter","chromium","Fri May 01 11:27:26 ART 2026","failed","Fri May 01 11:27:41 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","6890","Validar acceso al formulario de registro desde la página principal","chromium","Fri May 01 11:26:17 ART 2026","passed","Fri May 01 11:26:24 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","1599","Validar rechazo de email con formato inválido","chromium","Fri May 01 11:28:44 ART 2026","passed","Fri May 01 11:28:45 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","1911","Validar rechazo de email duplicado con mensaje de error","chromium","Fri May 01 11:26:39 ART 2026","passed","Fri May 01 11:26:41 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","2990","Validar mensaje de confirmación tras registro exitoso","chromium","Fri May 01 11:26:33 ART 2026","passed","Fri May 01 11:26:36 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","2850","Validar registro exitoso con password de más de 6 caracteres","chromium","Fri May 01 11:26:30 ART 2026","passed","Fri May 01 11:26:33 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","5768","Validar rechazo de intento de inyección SQL en email","chromium","Fri May 01 11:28:36 ART 2026","passed","Fri May 01 11:28:41 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","2880","Validar visibilidad completa del mensaje de confirmación","chromium","Fri May 01 11:26:36 ART 2026","passed","Fri May 01 11:26:39 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","2191","Validar ausencia de mensaje de confirmación con email duplicado","chromium","Fri May 01 11:28:00 ART 2026","passed","Fri May 01 11:28:02 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","5011","Validar no exposición de contraseña en respuesta HTTP","chromium","Fri May 01 11:28:48 ART 2026","passed","Fri May 01 11:28:53 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
"","2964","Validar registro exitoso con datos válidos","chromium","Fri May 01 11:26:24 ART 2026","passed","Fri May 01 11:26:27 ART 2026","HU_REG_01 · Registro de Nuevo Usuario","HU_REG_01.spec.ts","",""
